This file shows the changes in the scripter output from the previous rendering:
Test Cases Published into Scripter Output Folder=E:\Conformiq Workspace\WS - Demo\ST_Parabank\Selenium Java
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Password" Element type: "textbox"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Username" Element type: "textbox"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "LOG IN" Element type: "button"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Register" Element type: "hyperlink"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "" Element type: "hyperlink"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Forgot login info?" Element type: "hyperlink"
Newly Added Element: ScreenName: "" Object Name: "Verify_Parabank Welcome_Action" Element type: "field"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Admin Page" Element type: "hyperlink"
Newly Added Element: ScreenName: "enter URL" Object Name: "url" Element type: "field"
Newly Added Element: ScreenName: "enter URL" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Register" Object Name: "First Name" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Last Name" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Address" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "City" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "State" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Zip Code" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Phone" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "SSN" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Username" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Password" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Confirm" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "RIGISTER" Element type: "button"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "First Name" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "Last Name" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "Address" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "City" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "State" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "Zip Code" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "SSN" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "FIND MY LOGIN INFO" Element type: "button"
Newly Added Element: ScreenName: "Account Created" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "Account Created" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Invalid Credentials" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "Invalid Credentials" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Administration" Object Name: "Loan Provider" Element type: "dropdown"
Newly Added Element: ScreenName: "Administration" Object Name: "Loan Processor" Element type: "dropdown"
Newly Added Element: ScreenName: "Administration" Object Name: "Threshold" Element type: "textbox"
Newly Added Element: ScreenName: "Administration" Object Name: "Initial Balance" Element type: "textbox"
Newly Added Element: ScreenName: "Administration" Object Name: "Min Balance" Element type: "textbox"
Newly Added Element: ScreenName: "Administration" Object Name: "SUBMIT" Element type: "button"
Newly Added Element: ScreenName: "Administration" Object Name: "Available Funds" Element type: "button"
Newly Added Element: ScreenName: "Accounts Overview" Object Name: "Account" Element type: "field"
Newly Added Element: ScreenName: "Accounts Overview" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Accounts Overview" Object Name: "Balance" Element type: "field"
Newly Added Element: ScreenName: "Accounts Overview" Object Name: "Available Amount" Element type: "field"
Newly Added Element: ScreenName: "Invalid Register" Object Name: "Invalid Register" Element type: "field"
Newly Added Element: ScreenName: "Invalid Register" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "First Name" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Last Name" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Adress" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "City" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "State" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Zip Code" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Phone" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "SSN" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "UserName" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Password" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Confirm" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Account Type" Element type: "dropdown"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Existing Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Open New Account" Element type: "button"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Account Overview" Element type: "hyperlink"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Request Loan" Element type: "hyperlink"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Existing Account" Element type: "hyperlink"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "Amount" Element type: "field"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "From Account" Element type: "field"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "To Account" Element type: "field"
